ID,Item,AUX,Hide,Stocked in shop,Tradeable,Limited,Image URL,Image,Preview,Trait,Type,Rarity,Price,Description,Stock quantity
1,Coins,1 Coins,FALSE,FALSE,TRUE,FALSE,https://drive.google.com/file/d/1XfENUtEifCbeOmi8tzG5bQB9jpBoKF_4/view?usp=sharing,https://img-l.ink/img/1XfENUtEifCbeOmi8tzG5bQB9jpBoKF_4.png,,,Currency,,-,The currency used in the Puff Kingdom.,
2,Lucky Potion,2 Lucky Potion,TRUE,TRUE,TRUE,FALSE,https://drive.google.com/file/d/1y-xO7D0-BWXl5_GrHkjP10ccWC5XfPUP/view?usp=drive_link,https://img-l.ink/img/1y-xO7D0-BWXl5_GrHkjP10ccWC5XfPUP.png,,,Misc,Common,15,"When purchased, you can use /luckypotion on discord to receive a random trait (S–SR, excluding SSR)",
3,Discounted MYO slot,3 Discounted MYO slot,FALSE,TRUE,FALSE,TRUE,https://drive.google.com/file/d/1rVqJOikM-cZFpMVs6esFE_NMO0A5Bd9W/view?usp=sharing,https://img-l.ink/img/1rVqJOikM-cZFpMVs6esFE_NMO0A5Bd9W.png,,,MYO Slot,,40,A discounted soulbound MYO slot (1 time only),-1
4,MYO slot,4 MYO slot,FALSE,TRUE,TRUE,FALSE,https://drive.google.com/file/d/11obXh7mGSJjbnnY20pcwheN4P4G5ZM-9/view?usp=sharing,https://img-l.ink/img/11obXh7mGSJjbnnY20pcwheN4P4G5ZM-9.png,,,MYO Slot,,80,A MYO slot without any traits.,-1
5,Premium MYO slot (Common),5 Premium MYO slot (Common),TRUE,TRUE,TRUE,FALSE,https://drive.google.com/file/d/11obXh7mGSJjbnnY20pcwheN4P4G5ZM-9/view?usp=sharing,https://img-l.ink/img/11obXh7mGSJjbnnY20pcwheN4P4G5ZM-9.png,,,MYO Slot,Exclusive,,A MYO slot with unlimited Common Trait,
6,Premium MYO slot (Uncom),6 Premium MYO slot (Uncom),TRUE,TRUE,TRUE,FALSE,https://drive.google.com/file/d/11obXh7mGSJjbnnY20pcwheN4P4G5ZM-9/view?usp=sharing,https://img-l.ink/img/11obXh7mGSJjbnnY20pcwheN4P4G5ZM-9.png,,,MYO Slot,Exclusive,,"A MYO slot with Unlimited Com, Uncommon Trait",
7,Premium MYO slot (Rare),7 Premium MYO slot (Rare),TRUE,TRUE,TRUE,FALSE,https://drive.google.com/file/d/11obXh7mGSJjbnnY20pcwheN4P4G5ZM-9/view?usp=sharing,https://img-l.ink/img/11obXh7mGSJjbnnY20pcwheN4P4G5ZM-9.png,,,MYO Slot,Exclusive,,A MYO slot with Unlimited Rare Trait,
8,Puff Colony MYO Slot,8 Puff Colony MYO Slot,FALSE,TRUE,TRUE,FALSE,https://drive.google.com/file/d/1ahckA1olsP9h2YN9vDNTSwhQiw_-l08Y/view?usp=sharing,https://img-l.ink/img/1ahckA1olsP9h2YN9vDNTSwhQiw_-l08Y.png,,,MYO Slot,,30,Puff Colony MYO to design your own Colony!,-1
9,Random Jewel-Bite,9 Random Jewel-Bite,TRUE,FALSE,FALSE,FALSE,https://drive.google.com/file/d/1y-xO7D0-BWXl5_GrHkjP10ccWC5XfPUP/view?usp=drive_link,https://img-l.ink/img/1y-xO7D0-BWXl5_GrHkjP10ccWC5XfPUP.png,,,Trait,Common,15,"When purchased, you will receive 1 random specific Trait Potion (S–SR, excluding SSR)",-1
10,Common Trait Jewel-Bite,10 Common Trait Jewel-Bite,FALSE,TRUE,TRUE,FALSE,https://drive.google.com/file/d/11WINDvJNhzB_SzKFrz5Mc8lC9ZcnrD0Q/view?usp=drive_link,https://img-l.ink/img/11WINDvJNhzB_SzKFrz5Mc8lC9ZcnrD0Q.png,,,Trait,Common,30,This item can be used in place of any one Common Trait.,-1
11,Uncommon Trait Jewel-Bite,11 Uncommon Trait Jewel-Bite,FALSE,TRUE,TRUE,FALSE,https://drive.google.com/file/d/16dLkTOxt00v8LYhHjBwVuqWzqE2sYlTE/view?usp=drive_link,https://img-l.ink/img/16dLkTOxt00v8LYhHjBwVuqWzqE2sYlTE.png,,,Trait,Uncommon,40,This item can be used in place of any one Uncommon Trait.,-1
12,Rare Trait Jewel-Bite,12 Rare Trait Jewel-Bite,FALSE,TRUE,TRUE,FALSE,https://drive.google.com/file/d/1oY7z3roIicWFRhlN6DHTNiQlDjvHYnSQ/view?usp=drive_link,https://img-l.ink/img/1oY7z3roIicWFRhlN6DHTNiQlDjvHYnSQ.png,,,Trait,Rare,60,This item can be used in place of any one Common Trait.,-1
