ID,Hide,Timestamp,Mod,Target,Reason
101,FALSE,02/11/2025 9:57:06,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
102,FALSE,02/11/2025 9:59:44,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
103,FALSE,02/11/2025 10:01:02,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
104,FALSE,02/11/2025 10:01:51,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
105,FALSE,02/11/2025 10:02:15,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
106,FALSE,02/11/2025 10:02:31,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
107,FALSE,02/11/2025 10:02:49,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
108,FALSE,02/11/2025 10:03:28,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
109,FALSE,02/11/2025 10:04:01,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
110,FALSE,02/11/2025 10:04:27,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
111,FALSE,02/11/2025 10:04:59,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
112,FALSE,02/11/2025 10:08:35,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
113,FALSE,02/11/2025 10:08:49,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
114,FALSE,02/11/2025 10:09:16,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
115,FALSE,02/11/2025 10:09:35,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
116,FALSE,02/11/2025 10:09:54,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
117,FALSE,02/11/2025 10:10:58,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
118,FALSE,02/11/2025 10:11:22,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
119,FALSE,02/11/2025 10:11:44,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
120,FALSE,02/11/2025 10:11:58,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
121,FALSE,02/11/2025 10:12:19,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
122,FALSE,02/11/2025 10:12:36,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
123,FALSE,02/11/2025 10:13:04,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
124,FALSE,02/11/2025 10:13:19,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
125,FALSE,02/11/2025 10:13:55,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
126,FALSE,02/11/2025 10:14:12,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
127,FALSE,02/11/2025 10:14:21,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
128,FALSE,02/11/2025 10:14:39,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
129,FALSE,02/11/2025 10:14:46,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
130,FALSE,02/11/2025 10:14:55,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
131,FALSE,02/11/2025 10:15:07,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
132,FALSE,02/11/2025 10:20:56,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
133,FALSE,02/11/2025 20:03:35,ninovel,,[Bot] Granted MYO slot: Species: Wyvern
134,FALSE,02/11/2025 20:20:19,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
135,FALSE,02/11/2025 20:48:06,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
136,FALSE,02/11/2025 20:48:51,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
137,FALSE,02/11/2025 20:49:12,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
138,FALSE,02/11/2025 20:49:41,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
139,FALSE,02/11/2025 20:49:53,limatrix,,"[Bot] Granted MYO slot: Status: Soulbound, Rarity: Common, Notes: Souldbound until designed!"
