ID,Trait,AUX,Hide,Image URL,Image,Preview,Type,Rarity,Price,Description,Item
,, ,,,,,,,,,
2,Extra large ear,2 Extra large ear,TRUE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232964_hRf.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232964_hRf.png,,Exclusive,Exclusive,,Dragon exclusive,
3,Extra large horn,3 Extra large horn,TRUE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232939_lAW.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232939_lAW.png,,Exclusive,Exclusive,,Behemoth exclusive,
4,Extra large wings,4 Extra large wings,TRUE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232954_EPx.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232954_EPx.png,,Exclusive,Exclusive,,Wyvern exclusive,
5,Extra large tail,5 Extra large tail,TRUE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232945_wbB.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232945_wbB.png,,Exclusive,Exclusive,,Leviathan exclusive,
6,Large ear,6 Large ear,TRUE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232966_qsh.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232966_qsh.png,,Special limbs,Common,,Max Size Ears for a normal Puff,
7,Large horn,7 Large horn,TRUE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232940_96w.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232940_96w.png,,Special limbs,Common,,Max Size Horns for a normal Puff,
8,Large wings,8 Large wings,TRUE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232957_jYe.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232957_jYe.png,,Special limbs,Common,,Max Size Wings for a normal Puff,
9,Large tail,9 Large tail,TRUE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232947_njN.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232947_njN.png,,Special limbs,Common,,Max Size Tail for a normal Puff,
10,Small ear,10 Small ear,TRUE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232938_Lbh.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232938_Lbh.png,,Special limbs,Common,,Min Size Ears for a normal Puff,
11,Small horn,11 Small horn,TRUE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232943_VU4.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232943_VU4.png,,Special limbs,Common,,Min Size Horns for a normal Puff,
12,Small wings,12 Small wings,TRUE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232961_M5R.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232961_M5R.png,,Special limbs,Common,,Min Size Wings for a normal Puff,
13,Small tail,13 Small tail,TRUE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232951_1Q3.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85232951_1Q3.png,,Special limbs,Common,,Min Size Tail for a normal Puff,
14,Dragon ears,14 Dragon ears,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85231711_Fjs.png?1720967931,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85231711_Fjs.png?1720967931,,Exclusive,Exclusive,,Dragon exclusive,
15,Spiky fur,15 Spiky fur,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85231712_kaU.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85231712_kaU.png,,Exclusive,Exclusive,,Behemoth exclusive,
16,Feathers,16 Feathers,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85231713_0BU.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85231713_0BU.png,,Exclusive,Exclusive,,"Wyvern exclusive

Allow puff to have the Ear, Wings, whole tail or tail tip as a feather.",
17,Fins,17 Fins,FALSE,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85231716_hT7.png,https://f2.toyhou.se/file/f2-toyhou-se/thumbnails/85231716_hT7.png,,Exclusive,Exclusive,,Leviathan exclusive,
